Id,eTag,Title,Subtitle,Author,Publisher,Published-Date,Description,ISBN_10,ISBN_13,PageCount,Categories,Language,Sale_Info,Saleability,isEBook,epub,pdf,Access_Info,Viewability,PublicDomain
ps1CswEACAAJ,Bnf7O8lZObs,This is Going to Hurt,Secret Diaries of a Junior Doctor,Adam Kay,Pan Macmillan,2018,"As soon as Adam Kay set foot on a hospital ward for the first time, he realised there's quite a lot they don't teach you at medical school ... His diaries from the NHS front line - scribbled in secret after long nights, endless days and missed weekends - are hilarious, horrifying and heartbreaking by turns. This Is Going to Hurt is everything you wanted to know about being a junior doctor, and more than a few things you really didn't. And yes, it may leave a scar.",1509858636,9781509858637,279,Biography & Autobiography,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
AV9x8XakdV0C,dVP5gl76rc0,"Thinking, Fast and Slow",,Daniel Kahneman,Penguin UK,2011,Psychologist Daniel Kahneman reveals the truth about our intuitions and rationality to teach us how to better our lives. He explores the fascinating flaws and marvels of human behaviour and reveals to us the common errors in people's beliefs.,0141033576,9780141033570,609,Business & Economics,en,VN,NOT_FOR_SALE,False,True,True,VN,NO_PAGES,False
fDDWDQAAQBAJ,k+5FqmZLhoU,When Breath Becomes Air,,Paul Kalanithi,Random House,2017-01-03,"THE NEW YORK TIMES NUMBER ONE BESTSELLER THE SUNDAY TIMES NUMBER ONE BESTSELLER 'Finishing this book and then forgetting about it is simply not an option...Unmissable' New York Times At the age of thirty-six, on the verge of completing a decade's training as a neurosurgeon, Paul Kalanithi was diagnosed with inoperable lung cancer. One day he was a doctor treating the dying, the next he was a patient struggling to live. When Breath Becomes Air chronicles Kalanithi's transformation from a medical student asking what makes a virtuous and meaningful life into a neurosurgeon working in the core of human identity - the brain - and finally into a patient and a new father. What makes life worth living in the face of death? What do you do when when life is catastrophically interrupted? What does it mean to have a child as your own life fades away? Paul Kalanithi died while working on this profoundly moving book, yet his words live on as a guide to us all. When Breath Becomes Air is a life-affirming reflection on facing our mortality and on the relationship between doctor and patient, from a gifted writer who became both.",1784701998,9781784701994,260,Death,en,VN,NOT_FOR_SALE,False,False,True,VN,NO_PAGES,False
SEsIPQAACAAJ,gFXmRLOD7tQ,Man's Search for Meaning,The Classic Tribute to Hope from the Holocaust,Viktor Emil Frankl,Rider Books,2008,"A prominent Viennese psychiatrist before the war, Viktor Frankl was uniquely able to observe the way that he and other inmates coped with the experience of being in Auschwitz. He noticed that it was the men who comforted others and who gave away their last piece of bread who survived the longest - and who offered proof that everything can be taken away from us except the ability to choose our attitude in any given set of circumstances. The sort of person the prisoner became was the result of an inner decision and not of camp influences alone. Only those who allowed their inner hold on their moral and spiritual selves to subside eventually fell victim to the camp's degenerating influence - while those who made a victory of those experiences turned them into an inner triumph. Frankl came to believe that man's deepest desire is to search for meaning and purpose. This outstanding work offers us all a way to transcend suffering and find significance in the art of living.",1846041244,9781846041242,0,Existential psychotherapy,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
6KxItwAACAAJ,I0DBV5RB5fI,The Man who Mistook His Wife for a Hat,,Oliver Sacks,Picador,2011,"In his most extraordinary book, Oliver Sacks recounts the stories of patients lost in the bizarre, apparently inescapable world of neurological disorders. These are case studies of people who have lost their memories and with them the greater part of their pasts; who are no longer able to recognise people or common objects. In Dr Sacks's splendid and sympathetic telling, each tale is a unique and deeply human study of life struggling against incredible adversity.",0330523627,9780330523622,0,Psychology,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
iz_1sgEACAAJ,WffrsB6dc5k,The 8-week Blood Sugar Diet,Lose Weight Fast and Reprogramme Your Body,Michael Mosley,,2015,Dr Michael Mosley reveals a game-changing approach to one of the greatest silent epidemics of our time - raised blood sugar levels.,1780722400,9781780722405,0,Health & Fitness,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
vFlKvgAACAAJ,h2avYhdQ22M,The Clever Guts Diet,How to Revolutionise Your Body from the Inside Out,Michael Mosley,,2017-05-18,"""Your guts have an astonishing degree of control over your mood, hunger, and general health. 'The Clever Guts Diet' is a book that celebrates this hugely under-rated organ and shows you what you need to do to keep it in prime condition.""--Publisher description.",1780723040,9781780723044,0,Cooking,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
I_sOrgEACAAJ,vbDkiC+FEZc,Being Mortal,"Illness, Medicine and what Matters in the End",Atul Gawande,,2015,"From the international bestselling author of Better, Complications and The Checklist Manifesto and Reith Lecturer 2014, a revolutionary and emotionally searing account of death, dying and medicine.",1846685826,9781846685828,0,Aging,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
ffFnjwEACAAJ,MjD5FFpo9bw,Gut,The Inside Story of Our Body's Most Under-Rated Organ,Giulia Enders,,2016-05,"With quirky charm, rising science star Giulia Enders explains the gut's magic, answering questions like: Why does acid reflux happen? What's really up with gluten and lactose intolerance? How does the gut affect obesity and mood? Enders's beguiling manifesto will make you finally listen to those butterflies in your stomach: they're trying to tell you something important.",1925228606,9781925228601,272,Intestines,en,VN,NOT_FOR_SALE,False,False,False,VN,NO_PAGES,False
lbgAsJi1plwC,uvtW3kRLeHY,The Brain That Changes Itself,Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,Penguin UK,2008-08-07,"Meet the ninety year old doctor, who, with the aid of a few simple exercises, is still practising medicine. His is just one of the incredible stories brain expert Norman Doidge tells as he reveals our brain's remarkable ability to repair itself through the power of positive thought. In The Brain That Changes Itself Doidge introduces us to the fascinating stories at the cutting edge of the brain science and the emerging discipline of 'neuroplasticity' . We meet the stroke victim who unable to feed or dress himself learned to move and talk again, the woman with a rare brain condition that left her feeling as though she was perpetually falling but who through a series of exercises rewired her brain to overcome this and the maverick scientists over turning centuries of assumptions about the brain and it's capacity for renewal. Doidge shows how their incredible work is helping the blind to see, the deaf to hear and causing Nobel laureates to rethink our model of the brain. This remarkable book will leave you with a sense of wonder at the capabilities of the human brain and the power to change which lies within all of us.",014103887X,9780141038872,460,Family & Relationships,en,VN,NOT_FOR_SALE,False,True,True,VN,NO_PAGES,False
